,account_length_norm,number_vmail_messages_norm,total_day_minutes_norm,total_day_calls_norm,total_day_charge_norm,total_eve_minutes_norm,total_eve_calls_norm,total_eve_charge_norm,total_night_minutes_norm,total_night_calls_norm,total_night_charge_norm,total_intl_minutes_norm,total_intl_calls_norm,total_intl_charge_norm,number_customer_service_calls_norm,international_plan_label,voice_mail_plan_label,churn_label
0,0.4380165289256199,0.5,0.4597439544807966,0.7454545454545455,0.45967202141900937,0.5441135541330364,0.6058823529411764,0.544204322200393,0.6440506329113924,0.5885714285714285,0.6443444006752954,0.685,0.15000000000000002,0.6851851851851852,0.1111111111111111,0,1,0
1,0.5619834710743802,0.0,0.6924608819345662,0.6909090909090909,0.6924364123159304,0.33732257166713053,0.6470588235294118,0.33726260641781275,0.41164556962025317,0.5942857142857143,0.4119302194710186,0.61,0.25,0.6092592592592593,0.0,0,0,0
3,0.3057851239669422,0.0,0.47425320056899,0.6848484848484848,0.4742302543507363,0.41274700807124964,0.7176470588235294,0.4129011132940406,0.47316455696202536,0.6914285714285714,0.47326955543050087,0.505,0.15000000000000002,0.5055555555555555,0.3333333333333333,1,0,0
5,0.6033057851239669,0.0,0.4466571834992888,0.47878787878787876,0.446619812583668,0.2869468410798775,0.5529411764705883,0.2868369351669941,0.5362025316455696,0.5485714285714286,0.5362971299943725,0.355,0.30000000000000004,0.3555555555555555,0.0,1,0,0
7,0.578512396694215,0.7115384615384616,0.7357041251778095,0.509090909090909,0.7356091030789826,0.6178680768160311,0.6529411764705882,0.6178781925343813,0.8263291139240506,0.5542857142857143,0.8266741699493528,0.5599999999999999,0.25,0.5592592592592592,0.0,1,1,0
9,0.30165289256198347,0.0,0.5339971550497866,0.7696969696969697,0.5339692101740294,0.4547731700528806,0.8705882352941177,0.4548133595284873,0.49620253164556966,0.5371428571428571,0.4963421496904896,0.455,0.25,0.45555555555555555,0.0,0,0,0
10,0.6900826446280992,0.0,0.3664295874822191,0.5818181818181818,0.3664658634538152,0.2919565822432508,0.4176470588235294,0.2920759659463,0.3572151898734177,0.7314285714285714,0.35734383792909397,0.5599999999999999,0.1,0.5592592592592592,0.1111111111111111,0,0,0
11,0.38842975206611574,0.0,0.44551920341394025,0.5333333333333333,0.44544846050870146,0.6891177289173391,0.4411764705882353,0.6892599869024232,0.4868354430379747,0.6571428571428571,0.48677546426561624,0.6150000000000001,0.25,0.6148148148148147,0.3333333333333333,0,0,0
13,0.34710743801652894,0.5192307692307693,0.5587482219061167,0.8424242424242424,0.5587349397590361,0.7817979404397438,0.5294117647058824,0.7819253438113949,0.2260759493670886,0.42857142857142855,0.2262239729881823,0.6900000000000001,0.2,0.6907407407407407,0.1111111111111111,0,1,0
14,0.30991735537190085,0.6346153846153847,0.5396870554765292,0.4,0.5396586345381527,0.5922627330921235,0.38235294117647056,0.5923379174852653,0.4194936708860759,0.6171428571428571,0.41980866629150254,0.5,0.25,0.5,0.1111111111111111,0,1,0
15,0.2975206611570248,0.0,0.6384068278805122,0.5454545454545454,0.6383868808567603,0.4439187308655719,0.5176470588235293,0.44400785854616903,0.48810126582278485,0.4228571428571429,0.4884637028700056,0.65,0.1,0.6499999999999999,0.1111111111111111,0,0,0
16,0.6033057851239669,0.0,0.4412517780938834,0.7090909090909091,0.44126506024096385,0.6671305315892011,0.5470588235294117,0.6669941060903734,0.528607594936709,0.76,0.5289814293753518,0.53,0.2,0.5296296296296296,0.0,0,0,0
19,0.4545454545454546,0.0,0.3140825035561878,0.6242424242424243,0.31408969210174026,0.3821319231839688,0.6,0.3821218074656189,0.48,0.6,0.4800225098480585,0.385,0.30000000000000004,0.3851851851851852,0.2222222222222222,0,0,0
20,0.5413223140495868,0.0,0.23072546230440966,0.5212121212121212,0.23075635876840694,0.6824380740328415,0.4235294117647059,0.6823837590045843,0.6,0.6571428571428571,0.6004501969611705,0.515,0.1,0.5148148148148147,0.0,0,0,0
21,0.23140495867768596,0.75,0.6059743954480797,0.696969696969697,0.6059236947791165,0.5318675201781241,0.6588235294117647,0.5317616240995415,0.46253164556962023,0.6571428571428571,0.46257737760270123,0.47500000000000003,0.15000000000000002,0.47592592592592586,0.0,0,1,0
22,0.2190082644628099,0.0,0.38207681365576107,0.44242424242424244,0.3820281124497992,0.4327859727247425,0.5882352941176471,0.4328749181401441,0.2584810126582278,0.38857142857142857,0.2583005064715813,0.735,0.2,0.7351851851851852,0.3333333333333333,0,0,0
23,0.07851239669421488,0.0,0.5405405405405406,0.6606060606060606,0.5404953145917001,0.718619537990537,0.49411764705882355,0.7187295350360183,0.45949367088607596,0.5828571428571429,0.4597636465953855,0.315,0.30000000000000004,0.31481481481481477,0.0,0,0,0
24,0.19834710743801653,0.0,0.339402560455192,0.7090909090909091,0.3393574297188755,0.5986640690231004,0.6411764705882352,0.598559266535691,0.4524050632911392,0.5142857142857142,0.4524479459763646,0.555,0.05,0.5555555555555556,0.1111111111111111,0,0,0
25,0.3057851239669422,0.0,0.6432432432432432,0.6363636363636364,0.643239625167336,0.5608126913442805,0.6294117647058823,0.5609037328094303,0.6232911392405063,0.56,0.6235227912211593,0.515,0.25,0.5148148148148147,0.1111111111111111,0,0,0
26,0.045454545454545456,0.0,0.710099573257468,0.7151515151515152,0.7100066934404283,0.7024770386863345,0.7,0.7023575638506877,0.7093670886075949,0.5142857142857142,0.7096229600450197,0.5900000000000001,0.15000000000000002,0.5907407407407407,0.1111111111111111,0,0,1
27,0.23140495867768596,0.4807692307692308,0.5029871977240399,0.5696969696969697,0.503012048192771,0.5427219593654328,0.4411764705882353,0.5428945645055665,0.540506329113924,0.6628571428571428,0.5407990996060776,0.41500000000000004,0.2,0.41481481481481486,0.0,0,1,0
28,0.14462809917355374,0.576923076923077,0.4162162162162163,0.7757575757575758,0.41616465863453816,0.45226829947119396,0.47058823529411764,0.45219384413883434,0.32734177215189875,0.6228571428571429,0.3275182892515476,0.7250000000000001,0.30000000000000004,0.7259259259259259,0.0,0,1,0
29,0.31818181818181823,0.0,0.37211948790896165,0.3878787878787879,0.3721552878179384,0.6225994990258835,0.6823529411764706,0.6224623444662738,0.5767088607594937,0.6171428571428571,0.5768148564997186,0.5,0.25,0.5,0.1111111111111111,0,0,0
30,0.5578512396694215,0.6346153846153847,0.5800853485064011,0.6424242424242425,0.5799866131191431,0.5221263568048984,0.5823529411764706,0.5222658808120498,0.25746835443037974,0.6114285714285714,0.2577377602701182,0.525,0.30000000000000004,0.5259259259259259,0.3333333333333333,1,1,0
31,0.40082644628099173,0.0,0.3593172119487909,0.6181818181818182,0.35927041499330653,0.46423601447258556,0.5,0.4643091028159791,0.47544303797468357,0.7714285714285715,0.4755205402363534,0.47000000000000003,0.1,0.4703703703703703,0.3333333333333333,0,0,0
33,0.13636363636363635,0.0,0.355049786628734,0.49696969696969695,0.3550870147255689,0.7854160868355133,0.5764705882352941,0.7855271774721677,0.7886075949367088,0.44571428571428573,0.7889701744513224,0.5,0.2,0.5,0.2222222222222222,0,0,0
34,0.6570247933884298,0.0,0.24409672830725462,0.4666666666666667,0.24414323962516732,0.46006123016977457,0.6470588235294118,0.4600523903077931,0.4518987341772152,0.5257142857142857,0.4518851997749015,0.45999999999999996,0.2,0.45925925925925926,0.3333333333333333,0,0,0
35,0.2603305785123967,0.0,0.438122332859175,0.40606060606060607,0.4380856760374833,0.628444197049819,0.6941176470588235,0.6283562540929929,0.6716455696202532,0.49142857142857144,0.6719189645469893,0.17500000000000002,0.15000000000000002,0.1759259259259259,0.1111111111111111,0,0,0
36,0.23966942148760334,0.5384615384615385,0.3439544807965861,0.5878787878787879,0.34387550200803213,0.5928193709991649,0.5411764705882353,0.5929927963326784,0.4129113924050633,0.6628571428571428,0.41305571187394485,0.42500000000000004,0.25,0.4259259259259259,0.2222222222222222,0,1,0
37,0.2644628099173554,0.0,0.6011379800853486,0.7272727272727273,0.6010709504685409,0.45254661842471466,0.7176470588235294,0.45252128356254095,0.3410126582278481,0.6742857142857143,0.3410241980866629,0.66,0.25,0.6592592592592592,0.3333333333333333,0,0,0
38,0.5826446280991736,0.0,0.5320056899004267,0.806060606060606,0.5319611780455153,0.3746173114389089,0.43529411764705883,0.37459070072036676,0.6131645569620253,0.7257142857142858,0.6133933595948228,0.37000000000000005,0.25,0.37037037037037035,0.2222222222222222,0,0,0
39,0.39669421487603307,0.46153846153846156,0.37894736842105264,0.8181818181818182,0.3788487282463186,0.6045087670470358,0.3411764705882353,0.60445317616241,0.17873417721518986,0.4514285714285714,0.17895329206527857,0.55,0.15000000000000002,0.55,0.1111111111111111,0,1,0
40,0.21074380165289258,0.0,0.545945945945946,0.6545454545454545,0.5458500669344042,0.7509045365989423,0.5647058823529412,0.7508185985592666,0.599493670886076,0.49714285714285716,0.5998874507597074,0.39,0.25,0.3907407407407407,0.3333333333333333,0,0,0
41,0.243801652892562,0.0,0.6275960170697013,0.34545454545454546,0.6275100401606426,0.5875313108822711,0.6764705882352942,0.587426326129666,0.6303797468354431,0.7371428571428571,0.6308384918401801,0.34,0.15000000000000002,0.34074074074074073,0.1111111111111111,0,0,0
42,0.0371900826446281,0.0,0.5294452347083927,0.6787878787878788,0.5294511378848729,0.5293626495964374,0.38823529411764707,0.5294695481335954,0.7159493670886077,0.32571428571428573,0.7163759144625774,0.5700000000000001,0.30000000000000004,0.5703703703703703,0.2222222222222222,0,0,0
43,0.3925619834710744,0.0,0.4557610241820768,0.7090909090909091,0.45565595716198126,0.7445032006679654,0.3941176470588235,0.7445972495088409,0.5784810126582278,0.38857142857142857,0.578503095104108,0.4650000000000001,0.25,0.46481481481481474,0.2222222222222222,0,0,0
44,0.3305785123966942,0.0,0.4992887624466572,0.40606060606060607,0.499330655957162,0.6938491511271917,0.5,0.6938441388343157,0.6840506329113923,0.56,0.6842993809791784,0.51,0.15000000000000002,0.5092592592592592,0.1111111111111111,0,0,0
45,0.578512396694215,0.0,0.3610241820768137,0.593939393939394,0.3609437751004016,0.5009741163373225,0.36470588235294116,0.5009823182711199,0.3564556962025317,0.7314285714285714,0.35678109172763084,0.4,0.1,0.4,0.1111111111111111,0,0,0
46,0.49586776859504134,0.576923076923077,0.5644381223328592,0.7818181818181819,0.5644243641231592,0.20957417200111325,0.45294117647058824,0.20956123117223316,0.45873417721518983,0.44,0.45863815419245924,0.29,0.15000000000000002,0.29074074074074074,0.3333333333333333,0,1,1
47,0.5123966942148761,0.0,0.6523470839260314,0.6242424242424243,0.6522757697456492,0.49373782354578344,0.7411764705882353,0.49377865094957435,0.47924050632911397,0.5428571428571428,0.47945976364659537,0.6000000000000001,0.4,0.6,0.1111111111111111,0,0,0
48,0.7148760330578513,0.0,0.5465149359886202,0.5878787878787879,0.5465194109772422,0.47286390203172834,0.5529411764705883,0.472822527832351,0.4217721518987342,0.30857142857142855,0.4220596510973551,0.5700000000000001,0.2,0.5703703703703703,0.1111111111111111,0,0,0
49,0.47520661157024796,0.6538461538461539,0.7641536273115221,0.503030303030303,0.7640562248995983,0.49596437517394926,0.8352941176470589,0.4960707269155207,0.4210126582278481,0.6057142857142858,0.42093415869442885,0.58,0.15000000000000002,0.5796296296296296,0.2222222222222222,0,1,0
50,0.6115702479338844,0.5384615384615385,0.5140825035561878,0.5575757575757576,0.5140562248995983,0.5226829947119399,0.3764705882352941,0.5225933202357564,0.6721518987341772,0.3028571428571429,0.6724817107484524,0.63,0.15000000000000002,0.6296296296296295,0.3333333333333333,0,1,0
51,0.15289256198347106,0.0,0.3732574679943101,0.593939393939394,0.3731593038821955,0.4533815752852769,0.5705882352941176,0.4535036018336608,0.40253164556962023,0.6057142857142858,0.4023635340461452,0.41,0.30000000000000004,0.4092592592592592,0.2222222222222222,0,0,0
53,0.1735537190082645,0.0,0.7155049786628734,0.6363636363636364,0.715528781793842,0.5922627330921235,0.611764705882353,0.5923379174852653,0.399493670886076,0.38285714285714284,0.3995498030388295,0.4650000000000001,0.2,0.46481481481481474,0.0,1,0,0
54,0.4628099173553719,0.0,0.35618776671408253,0.5636363636363636,0.356091030789826,0.5744503200667965,0.7,0.5743287491814014,0.32734177215189875,0.7942857142857143,0.3275182892515476,0.41500000000000004,0.4,0.41481481481481486,0.0,1,0,0
55,0.5165289256198348,0.0,0.6019914651493599,0.42424242424242425,0.6019076305220883,0.6036738101864737,0.47058823529411764,0.6037982973149968,0.3886075949367089,0.34285714285714286,0.38885762521102984,0.39,0.05,0.3907407407407407,0.1111111111111111,0,0,0
57,0.5661157024793388,0.0,0.6879089615931722,0.5636363636363636,0.6879183400267738,0.4745338157528527,0.48823529411764705,0.4744597249508841,0.7475949367088608,0.5942857142857143,0.7478897017445132,0.5900000000000001,0.35000000000000003,0.5907407407407407,0.3333333333333333,0,0,0
59,0.6033057851239669,0.0,0.7072546230440967,0.503030303030303,0.7071619812583667,0.41441692179237405,0.5,0.4145383104125737,0.43670886075949367,0.6228571428571429,0.43669105233539673,0.4,0.2,0.4,0.3333333333333333,0,0,0
60,0.3677685950413223,0.0,0.5786628733997156,0.8848484848484849,0.5786479250334672,0.6309490676315056,0.6882352941176471,0.6309757694826458,0.3858227848101266,0.6,0.38604389420371416,0.365,0.2,0.3648148148148148,0.1111111111111111,0,0,0
61,0.34710743801652894,0.0,0.6708392603129446,0.6606060606060606,0.6708500669344043,0.43751739493459496,0.5529411764705883,0.4374590700720367,0.47645569620253164,0.5657142857142857,0.47664603263927974,0.6000000000000001,0.15000000000000002,0.6,0.0,0,0,0
62,0.2024793388429752,0.0,0.4469416785206259,0.5454545454545454,0.446954484605087,0.6214862232118007,0.4235294117647059,0.621480026195154,0.45924050632911395,0.6342857142857142,0.45920090039392236,0.305,0.1,0.3055555555555555,0.1111111111111111,0,0,0
63,0.3347107438016529,0.0,0.8543385490753913,0.6606060606060606,0.8542503346720214,0.5037573058725299,0.5882352941176471,0.5039292730844794,0.6837974683544304,0.41714285714285715,0.6837366347777153,0.585,0.2,0.5851851851851851,0.0,0,0,1
65,0.1859504132231405,0.0,0.6091038406827881,0.43636363636363634,0.6091030789825971,0.45755635958808794,0.611764705882353,0.4574328749181402,0.44936708860759494,0.6457142857142857,0.449634214969049,0.41,0.15000000000000002,0.4092592592592592,0.2222222222222222,0,0,0
66,0.2851239669421488,0.0,0.4842105263157895,0.593939393939394,0.484103078982597,0.4319510158641803,0.6,0.43189259986902423,0.5787341772151898,0.4342857142857143,0.5790658413055711,0.75,0.1,0.7499999999999999,0.1111111111111111,0,0,0
67,0.5909090909090909,0.0,0.5721194879089616,0.6,0.5721218206157965,0.8446980239354299,0.43529411764705883,0.844793713163065,0.5670886075949367,0.68,0.5672481710748453,0.66,0.1,0.6592592592592592,0.1111111111111111,0,0,0
68,0.47520661157024796,0.0,0.6128022759601708,0.6303030303030303,0.6127844712182061,0.5699972168104648,0.4647058823529412,0.5700720366732155,0.7050632911392405,0.6228571428571429,0.7051209904333146,0.63,0.25,0.6296296296296295,0.3333333333333333,1,0,0
69,0.2851239669421488,0.46153846153846156,0.7098150782361309,0.6121212121212121,0.7098393574297189,0.7227943222933481,0.5764705882352941,0.7226588081204978,0.5637974683544303,0.38857142857142857,0.5638716938660664,0.49000000000000005,0.2,0.4907407407407407,0.1111111111111111,0,1,0
70,0.5247933884297521,0.5576923076923077,0.510099573257468,0.6303030303030303,0.5100401606425703,0.6287225160033397,0.5058823529411764,0.6286836935166994,0.8177215189873418,0.44571428571428573,0.8182329769274057,0.43,0.35000000000000003,0.4296296296296296,0.0,0,1,0
72,0.4545454545454546,0.0,0.6096728307254624,0.7151515151515152,0.6096050870147256,0.5802950180907319,0.44705882352941173,0.5802226588081205,0.4617721518987342,0.56,0.4620146314012381,0.6000000000000001,0.1,0.6,0.1111111111111111,0,0,0
73,0.30165289256198347,0.6730769230769231,0.4384068278805121,0.6303030303030303,0.4384203480589023,0.3434455886445867,0.49411764705882355,0.3434839554682384,0.5116455696202532,0.32571428571428573,0.5115362971299944,0.545,0.45,0.5444444444444444,0.2222222222222222,0,1,0
74,0.5247933884297521,0.0,0.6768136557610243,0.7575757575757576,0.6767068273092369,0.6891177289173391,0.5470588235294117,0.6892599869024232,0.528860759493671,0.38857142857142857,0.5289814293753518,0.6950000000000001,0.2,0.6944444444444444,0.1111111111111111,0,0,1
75,0.3347107438016529,0.0,0.4093883357041252,0.3696969696969697,0.4093038821954485,0.5424436404119121,0.6176470588235294,0.5425671250818599,0.27746835443037976,0.5371428571428571,0.27743387732132807,0.555,0.1,0.5555555555555556,0.1111111111111111,0,0,0
76,0.6363636363636364,0.0,0.5786628733997156,0.6060606060606061,0.5786479250334672,0.5313108822710826,0.611764705882353,0.531434184675835,0.49620253164556966,0.68,0.4963421496904896,0.44500000000000006,0.2,0.4444444444444444,0.0,0,0,1
77,0.32644628099173556,0.0,0.35362731152204835,0.6060606060606061,0.35358099062918336,0.4814917895908711,0.6294117647058823,0.48166339227242966,0.641012658227848,0.35428571428571426,0.6409679234665167,0.395,0.45,0.3944444444444444,0.1111111111111111,0,0,0
78,0.31818181818181823,0.0,0.7194879089615932,0.5636363636363636,0.7193775100401607,0.4965210130809908,0.6588235294117647,0.4963981663392273,0.6681012658227847,0.6,0.6685424873382105,0.47500000000000003,0.35000000000000003,0.47592592592592586,0.3333333333333333,0,0,0
79,0.3677685950413223,0.0,0.5095305832147937,0.4303030303030303,0.5095381526104418,0.5304759254105204,0.4764705882352941,0.5304518664047152,0.32329113924050634,0.52,0.3235790658413056,0.53,0.35000000000000003,0.5296296296296296,0.3333333333333333,0,0,0
80,0.2975206611570248,0.0,0.4554765291607397,0.6666666666666666,0.45548862115127176,0.5936543278597273,0.4235294117647059,0.5936476751800916,0.44075949367088607,0.4114285714285714,0.44063027574563873,0.65,0.2,0.6499999999999999,0.0,0,0,0
